,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
A,0.9302325581395349,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.9302325581395349,0.888888888888889,0.9777777777777777,0.9523809523809523,0.9268292682926829,0.7999999999999999,0.9302325581395349,0.9268292682926829,0.9545454545454546,0.9302325581395349,0.9767441860465117,0.9523809523809523,0.9309680499591165
B,1.0,1.0,1.0,1.0,1.0,0.9473684210526316,1.0,0.9523809523809523,0.9473684210526316,0.9411764705882353,1.0,0.9473684210526316,0.9473684210526316,0.9473684210526316,1.0,1.0,0.9768999705145217
C,0.8571428571428572,0.9090909090909091,0.9090909090909091,0.6666666666666665,0.6,0.6363636363636365,0.6666666666666666,0.8571428571428572,0.5833333333333334,0.6,0.888888888888889,0.888888888888889,0.9090909090909091,0.7200000000000001,0.9523809523809523,1.0,0.7902967171717171
D,0.787878787878788,0.8000000000000002,0.8181818181818181,0.8799999999999999,0.8571428571428571,0.608695652173913,0.8387096774193548,0.8181818181818181,0.962962962962963,0.5161290322580646,0.896551724137931,0.962962962962963,0.6363636363636364,0.8695652173913044,0.9166666666666666,0.9600000000000001,0.82062455085763
E,0.8076923076923077,0.9583333333333334,0.9361702127659575,0.9019607843137256,0.88,0.9019607843137256,0.9387755102040817,0.9583333333333334,0.8510638297872342,0.75,0.888888888888889,0.9803921568627451,0.9795918367346939,0.9433962264150945,0.9583333333333334,1.0,0.9146807836236533
F,0.9166666666666666,0.0,0.9523809523809523,0.8,0.9523809523809523,0.7826086956521738,0.9,0.8695652173913043,0.8421052631578948,0.5,0.9,0.9523809523809523,0.9523809523809523,0.9166666666666666,0.9523809523809523,1.0,0.8243448294649668
G,0.45454545454545453,0.8421052631578948,0.9090909090909091,0.5555555555555556,0.8000000000000002,0.7058823529411764,0.8000000000000002,0.8,0.7200000000000001,0.380952380952381,0.5333333333333333,0.9473684210526316,0.9090909090909091,0.8695652173913044,0.9090909090909091,0.888888888888889,0.7515918496932091
H,0.7826086956521738,0.9565217391304348,0.7777777777777778,0.8571428571428572,0.8181818181818182,0.9523809523809523,0.7058823529411764,0.7000000000000001,0.9523809523809523,0.5714285714285714,0.9166666666666666,1.0,0.9565217391304348,0.7692307692307692,1.0,0.8571428571428572,0.8483667343242152
I,0.9142857142857143,0.7916666666666666,1.0,0.9500000000000001,0.9,0.9743589743589743,1.0,1.0,0.8108108108108109,0.6818181818181819,0.8780487804878049,0.9743589743589743,0.8837209302325582,0.9743589743589743,0.8648648648648649,0.9500000000000001,0.9092683045152203
J,0.8333333333333333,0.9090909090909091,0.9473684210526316,0.9090909090909091,0.7,0.9523809523809523,0.9090909090909091,0.9523809523809523,0.8235294117647058,0.3157894736842105,0.9,1.0,0.9473684210526316,0.7058823529411764,1.0,0.9473684210526316,0.8595421541822471
K,0.7368421052631577,1.0,0.8,0.7,0.8571428571428572,0.5,0.75,0.9,0.608695652173913,0.28571428571428575,0.888888888888889,1.0,0.9090909090909091,0.8421052631578948,1.0,0.7692307692307693,0.7842319206664173
L,0.962962962962963,1.0,0.9285714285714286,0.8695652173913044,0.962962962962963,0.8387096774193548,0.8799999999999999,0.9600000000000001,0.7272727272727274,0.7499999999999999,0.7692307692307693,1.0,0.9285714285714286,0.8799999999999999,0.9600000000000001,0.9230769230769231,0.8963077560912416
M,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.9523809523809523,1.0,0.8235294117647058,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9803125795772855
N,0.9,0.9523809523809523,0.9565217391304348,0.8421052631578948,1.0,0.8421052631578948,1.0,0.9166666666666666,0.8421052631578948,0.8333333333333333,0.9090909090909091,1.0,1.0,0.9565217391304348,1.0,1.0,0.9344269455754011
O,0.9130434782608695,0.9777777777777777,0.9361702127659574,0.8800000000000001,0.9565217391304348,0.8695652173913043,0.878048780487805,1.0,0.9090909090909091,0.7567567567567568,0.8846153846153846,1.0,0.9047619047619047,0.9777777777777777,1.0,0.8260869565217391,0.9168885559586637
P,0.6666666666666665,0.5555555555555556,0.7826086956521738,0.9523809523809523,0.8571428571428572,0.7142857142857143,0.7999999999999999,0.8,0.9090909090909091,0.37499999999999994,0.761904761904762,0.9,0.846153846153846,0.7999999999999999,0.9166666666666666,0.8333333333333333,0.77942437242709
Q,0.8421052631578948,1.0,1.0,0.8571428571428572,0.9090909090909091,0.7499999999999999,0.9,0.8571428571428572,0.9090909090909091,0.761904761904762,1.0,0.9523809523809523,0.9473684210526316,0.9473684210526316,1.0,0.7058823529411764,0.8962173565598488
R,0.888888888888889,1.0,0.9655172413793104,0.9655172413793104,0.7272727272727273,0.9655172413793104,0.9655172413793104,0.9285714285714286,0.7586206896551724,0.8275862068965518,0.9032258064516129,1.0,0.9375,1.0,1.0,0.8571428571428571,0.91817984814978
S,0.8421052631578948,0.9523809523809523,0.8750000000000001,0.8000000000000002,0.8571428571428572,0.9,0.8571428571428572,0.8571428571428572,0.8235294117647058,0.6363636363636365,0.9,0.8695652173913044,0.8571428571428572,0.8421052631578948,0.9473684210526316,0.9333333333333333,0.8593951829483616
T,0.7407407407407408,1.0,0.9565217391304348,0.8181818181818182,0.923076923076923,0.8571428571428571,0.888888888888889,1.0,0.7857142857142857,0.4444444444444444,0.9600000000000001,1.0,0.631578947368421,0.9166666666666666,0.8333333333333334,0.8799999999999999,0.852268165293051
U,0.972972972972973,0.972972972972973,0.9473684210526316,0.8888888888888888,0.9714285714285714,0.9714285714285714,0.9444444444444444,1.0,1.0,0.7027027027027027,0.918918918918919,0.9444444444444444,1.0,0.972972972972973,0.9714285714285714,0.9444444444444444,0.9452760561313194
V,0.8421052631578948,0.9,0.8000000000000002,0.75,0.9,0.9,0.75,0.9523809523809523,0.9,0.5714285714285715,0.888888888888889,0.9473684210526316,0.761904761904762,0.7777777777777777,1.0,0.8333333333333333,0.842199248120301
W,0.9,1.0,1.0,1.0,0.9523809523809523,0.9473684210526316,0.9523809523809523,0.9473684210526316,0.9523809523809523,0.9473684210526316,0.9090909090909091,1.0,1.0,0.9523809523809523,0.9523809523809523,0.8695652173913044,0.9551666344715544
X,0.761904761904762,0.9473684210526316,0.9523809523809523,0.9,0.8235294117647058,0.6666666666666666,0.761904761904762,0.7777777777777777,0.9473684210526316,0.47058823529411764,1.0,0.8,0.6363636363636365,0.75,1.0,0.7058823529411764,0.8063584624439888
Y,0.8695652173913043,1.0,0.9565217391304348,0.9565217391304348,0.9166666666666666,0.8421052631578948,0.9565217391304348,0.9565217391304348,0.9166666666666666,0.7368421052631577,0.9523809523809523,1.0,0.9523809523809523,0.7368421052631579,1.0,0.9565217391304348,0.9191286640514329
Z,0.7826086956521738,1.0,1.0,0.7999999999999999,0.8181818181818182,0.8571428571428572,0.9523809523809523,1.0,0.6,0.5714285714285713,0.7826086956521738,1.0,0.7368421052631579,0.8421052631578948,0.9565217391304348,0.7777777777777778,0.8423499047354883
