,P 2-1,P 2-2,P 2-3,P 2-4,P 2-5,P 2-6,P 2-7,P 2-8,P 2-9,P 2-10,P 2-11,P 2-12,P 2-13,P 2-14,P 2-15,P 2-16,Ave
A,0.9600000000000001,0.8799999999999999,0.962962962962963,0.8695652173913044,0.896551724137931,0.5999999999999999,0.7272727272727274,0.5263157894736842,0.761904761904762,0.6956521739130435,0.8000000000000002,0.5714285714285714,0.9230769230769231,0.8181818181818181,0.6923076923076923,0.9166666666666666,0.7876179392948804
B,0.9473684210526316,0.9473684210526316,0.4615384615384615,0.8235294117647058,0.9523809523809523,1.0,0.9473684210526316,0.761904761904762,0.8571428571428572,0.4444444444444445,0.9473684210526316,0.8181818181818182,0.8421052631578948,0.7777777777777777,0.8235294117647058,0.9473684210526316,0.8312110790825963
C,0.8571428571428572,0.5714285714285713,0.4285714285714285,0.608695652173913,0.7058823529411764,0.5333333333333333,0.5714285714285715,0.17391304347826086,0.21428571428571427,0.22222222222222224,0.4444444444444445,0.9090909090909091,0.6666666666666666,0.4285714285714285,0.42424242424242425,0.5555555555555556,0.5197171984735923
D,0.7826086956521738,0.6666666666666666,0.5714285714285715,0.7368421052631577,0.8571428571428572,0.42857142857142855,0.26666666666666666,0.2727272727272727,0.6666666666666666,0.4,0.8,0.761904761904762,0.5384615384615384,0.28571428571428575,0.7826086956521738,0.9,0.6073756382823888
E,0.7692307692307693,1.0,0.6666666666666666,0.75,0.7692307692307693,0.8666666666666667,0.6666666666666665,0.6666666666666666,0.896551724137931,0.5806451612903225,0.8148148148148148,0.823529411764706,0.8333333333333334,0.6000000000000001,0.64,0.625,0.7480626656543321
F,0.7,0.37837837837837834,0.3636363636363636,0.24390243902439024,0.6956521739130435,0.6,0.32,0.6666666666666665,0.5,0.19999999999999998,0.7368421052631577,0.75,0.7,0.7826086956521738,0.6666666666666665,0.7200000000000001,0.5640220930750526
G,0.6666666666666667,0.888888888888889,0.6666666666666666,0.0,0.5,0.46153846153846156,0.6153846153846154,0.4285714285714285,0.625,0.07407407407407408,0.625,0.7777777777777777,0.7826086956521738,0.3076923076923077,0.4347826086956522,0.7,0.5346657619755446
H,0.6956521739130435,0.6666666666666666,0.5454545454545454,0.5333333333333333,0.8000000000000002,0.4,0.5,0.6666666666666666,0.8421052631578948,0.28571428571428564,0.761904761904762,0.8000000000000002,0.4444444444444445,0.6956521739130435,0.6,0.7777777777777777,0.625960755809154
I,0.8936170212765957,0.3225806451612903,0.9583333333333334,0.06896551724137931,0.888888888888889,0.9361702127659574,0.6829268292682927,0.7272727272727272,0.6666666666666667,0.06250000000000001,0.8163265306122449,0.8372093023255814,0.9130434782608695,0.75,0.875,0.9361702127659574,0.7084794603649865
J,0.6956521739130435,0.9523809523809523,0.761904761904762,0.8571428571428571,0.6923076923076923,0.7,0.6,0.372093023255814,0.4615384615384615,0.0,0.9473684210526316,0.7692307692307693,0.8000000000000002,0.6363636363636365,0.8571428571428572,0.7058823529411764,0.6755629974484159
K,0.6666666666666665,0.8571428571428572,0.5,0.5625000000000001,0.8181818181818182,0.0,0.4210526315789474,0.3529411764705882,0.4285714285714285,0.13333333333333333,0.7142857142857143,0.8333333333333333,0.6666666666666665,0.4666666666666667,0.8181818181818182,0.6666666666666666,0.5566369236091566
L,0.9,0.6666666666666666,0.6666666666666666,0.8421052631578948,0.631578947368421,0.28571428571428575,0.30769230769230765,0.7,0.8571428571428572,0.125,0.7777777777777777,0.8421052631578948,0.625,0.625,0.6956521739130435,0.16666666666666669,0.60717305474528
M,0.9090909090909091,0.9,0.8000000000000002,0.9473684210526316,0.9473684210526316,0.5,0.9090909090909091,0.888888888888889,0.888888888888889,0.7999999999999999,0.888888888888889,0.9473684210526316,1.0,0.888888888888889,0.8421052631578948,0.9,0.8723717437533229
N,0.9523809523809523,1.0,0.8421052631578948,0.7499999999999999,0.8333333333333333,0.9473684210526316,0.8000000000000002,0.9090909090909091,0.9,0.6666666666666666,0.625,0.7058823529411764,0.9473684210526316,0.5,0.5714285714285715,0.7368421052631577,0.7929666872729952
O,0.8275862068965517,0.9696969696969697,0.8717948717948718,0.7333333333333334,0.8125,0.7222222222222223,0.8666666666666666,0.5714285714285715,0.9411764705882353,0.3333333333333333,0.7741935483870968,0.9714285714285714,0.8387096774193549,0.7586206896551724,0.6896551724137931,0.5555555555555555,0.7648688663012687
P,0.5333333333333333,0.5,0.4444444444444445,0.6,0.7826086956521738,0.7058823529411764,0.6666666666666666,0.5517241379310345,0.6956521739130435,0.2222222222222222,0.5714285714285715,0.5,0.4285714285714285,0.588235294117647,0.75,0.8421052631578948,0.5864296615237273
Q,0.7826086956521738,0.75,0.8333333333333333,0.37499999999999994,0.888888888888889,0.7999999999999999,0.5714285714285715,0.7368421052631577,0.9473684210526316,0.5,0.7777777777777777,0.7368421052631577,0.6666666666666666,0.7826086956521738,0.761904761904762,0.9090909090909091,0.7387725582483877
R,0.8235294117647058,0.8571428571428572,0.8695652173913044,0.8000000000000002,0.8571428571428572,0.8181818181818182,0.7777777777777777,0.9090909090909091,0.8,0.4210526315789474,0.9473684210526316,0.7058823529411764,0.888888888888889,0.8235294117647058,0.7000000000000001,0.8235294117647058,0.8014176229052055
S,0.6666666666666665,0.6666666666666666,0.588235294117647,0.588235294117647,0.6956521739130435,0.5555555555555556,0.8181818181818182,0.0,0.8571428571428572,0.09523809523809525,0.8750000000000001,0.8571428571428572,0.6956521739130435,0.761904761904762,0.5333333333333333,0.8000000000000002,0.6284129717433746
T,0.9523809523809523,0.8000000000000002,0.7,0.588235294117647,0.5,0.8,0.8571428571428572,0.625,0.7058823529411764,0.4800000000000001,0.9,0.6153846153846154,0.5925925925925927,0.6923076923076923,0.7,0.7368421052631577,0.7028605288831682
U,0.8275862068965517,0.8275862068965517,0.9600000000000001,0.7199999999999999,0.8461538461538461,0.7692307692307693,0.47058823529411764,0.7647058823529412,0.7142857142857143,0.38461538461538464,0.5714285714285714,0.8461538461538461,0.6875,0.6923076923076923,0.7407407407407408,0.6046511627906976,0.714220891196714
V,0.888888888888889,0.7058823529411764,0.45454545454545453,0.8571428571428572,0.631578947368421,0.4210526315789474,0.6666666666666666,0.28571428571428575,0.8181818181818182,0.2962962962962963,0.7058823529411764,0.8421052631578948,0.6666666666666666,0.3529411764705882,0.3636363636363636,0.5555555555555556,0.5945460986095661
W,0.8571428571428572,0.9523809523809523,0.888888888888889,0.9523809523809523,0.8000000000000002,0.8000000000000002,0.6923076923076923,0.8181818181818182,1.0,0.8421052631578948,0.8,0.9523809523809523,0.9473684210526316,0.6666666666666667,0.7272727272727272,0.6896551724137931,0.8366707727642393
X,0.8333333333333333,0.7368421052631577,0.5,0.380952380952381,0.8571428571428572,0.30769230769230765,0.7058823529411765,0.631578947368421,0.888888888888889,0.4761904761904762,0.8571428571428572,0.6086956521739131,0.3529411764705882,0.5714285714285713,0.6,0.7,0.625544494186808
Y,1.0,0.9473684210526316,0.9473684210526316,0.9,0.9,0.6666666666666667,0.9,0.9,0.8695652173913044,0.3448275862068966,0.9090909090909091,0.8421052631578948,0.9,0.7407407407407407,0.7368421052631577,0.8888888888888888,0.8370915137194828
Z,0.9473684210526316,0.9090909090909091,0.5454545454545454,0.5,0.6666666666666666,0.16666666666666666,0.30769230769230765,0.7058823529411764,0.8000000000000002,0.37499999999999994,0.888888888888889,0.9473684210526316,0.5263157894736842,0.75,0.5555555555555556,0.7499999999999999,0.646371907783479
Spc,0.9454545454545454,0.9444444444444444,0.9464285714285715,0.8909090909090909,0.8679245283018867,0.923076923076923,0.9444444444444444,0.5957446808510638,0.8490566037735848,0.42857142857142855,0.9444444444444444,0.9345794392523366,0.9158878504672897,0.8282828282828283,0.8623853211009175,0.5641025641025641,0.836608606806648
Bspc,0.8421052631578948,0.625,0.7142857142857143,0.4666666666666667,0.64,0.6666666666666666,0.7777777777777777,0.10256410256410257,0.4999999999999999,0.1904761904761905,0.7058823529411764,0.5,0.8571428571428572,0.3870967741935483,0.5185185185185185,0.3157894736842105,0.5506232723797078
Ent,0.8235294117647058,0.7,0.9,0.5454545454545454,0.7777777777777777,0.8235294117647058,0.625,1.0,0.5833333333333334,0.23529411764705882,0.64,0.15384615384615383,0.7499999999999999,0.8421052631578948,0.7058823529411764,0.7692307692307693,0.6796864460573826
Act,0.9473684210526316,0.888888888888889,0.5714285714285715,0.9743589743589743,0.9743589743589743,0.975609756097561,0.8333333333333334,0.6,0.8571428571428571,0.5925925925925926,0.8837209302325583,0.9230769230769231,0.9230769230769231,0.8947368421052632,0.888888888888889,0.888888888888889,0.8510919853452394
Nois,0.975609756097561,0.8,1.0,1.0,1.0,0.9523809523809523,1.0,0.975609756097561,0.9230769230769231,0.9,1.0,1.0,0.975609756097561,1.0,0.9473684210526316,0.975609756097561,0.9640790825562968
Ave,0.8345345057587835,0.783198693190283,0.7074744845211067,0.6602135357090214,0.789899875620868,0.6494766938827646,0.6715195972394906,0.6092834377715929,0.7521683523166611,0.3809054187027487,0.7887829518017332,0.7769043583420274,0.7514956870733329,0.667633250973483,0.6937300788960022,0.7298094161884326,0.7029393961242708
